"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_2s_sp","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","112.617","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_2s_sp","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg yr-1","1.90728","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_2s_sp","Period Mean (original grids)","MeanState","global","scalar","Pg yr-1","141.559","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_2s_sp","Model Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","118.246","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_2s_sp","Model Period Mean (complement)","MeanState","global","scalar","Pg yr-1","23.2666","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_2s_sp","Spatial Distribution Score","MeanState","global","score","1","0.964166","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_2s_sp","Phase Shift","MeanState","global","scalar","months","0.834355","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_2s_sp","Seasonal Cycle Score","MeanState","global","score","1","0.830099","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_2s_sp","Bias","MeanState","global","scalar","g m-2 d-1","0.564954","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_2s_sp","Bias Score","MeanState","global","score","1","0.486153","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_2s_sp","RMSE","MeanState","global","scalar","g m-2 d-1","1.38519","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_2s_sp","RMSE Score","MeanState","global","score","1","0.538599","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_2s_sp","Overall Score","MeanState","global","score","1","0.671523","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_2s_nocomp","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","112.617","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_2s_nocomp","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg yr-1","1.90728","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_2s_nocomp","Period Mean (original grids)","MeanState","global","scalar","Pg yr-1","110.455","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_2s_nocomp","Model Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","91.4552","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_2s_nocomp","Model Period Mean (complement)","MeanState","global","scalar","Pg yr-1","18.971","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_2s_nocomp","Spatial Distribution Score","MeanState","global","score","1","0.908209","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_2s_nocomp","Phase Shift","MeanState","global","scalar","months","1.42283","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_2s_nocomp","Seasonal Cycle Score","MeanState","global","score","1","0.706954","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_2s_nocomp","Bias","MeanState","global","scalar","g m-2 d-1","-0.138312","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_2s_nocomp","Bias Score","MeanState","global","score","1","0.424608","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_2s_nocomp","RMSE","MeanState","global","scalar","g m-2 d-1","1.87208","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_2s_nocomp","RMSE Score","MeanState","global","score","1","0.41904","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_2s_nocomp","Overall Score","MeanState","global","score","1","0.57557","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_norman_nocomp","Benchmark Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","112.617","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_norman_nocomp","Benchmark Period Mean (complement)","MeanState","global","scalar","Pg yr-1","1.90728","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_norman_nocomp","Period Mean (original grids)","MeanState","global","scalar","Pg yr-1","117.508","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_norman_nocomp","Model Period Mean (intersection)","MeanState","global","scalar","Pg yr-1","97.4276","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_norman_nocomp","Model Period Mean (complement)","MeanState","global","scalar","Pg yr-1","20.0496","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_norman_nocomp","Spatial Distribution Score","MeanState","global","score","1","0.921246","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_norman_nocomp","Phase Shift","MeanState","global","scalar","months","1.40934","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_norman_nocomp","Seasonal Cycle Score","MeanState","global","score","1","0.706286","75.0"
"_build","EcosystemandCarbonCycle","GrossPrimaryProductivity","ctsm51fates_derecho_norman_nocomp","Bias","MeanState","global","scalar","g m-2 d-1","0.0182022","75.0"
